오름명 별칭	위치	비고(m)	표고(m)	경도	위도	설명	주차	화장실	난이도	혼잡도	관리기관	관리자번호	운영시간	쉬는날	이용요금	오름영문명	데이터기준일자
아부오름	"앞오름, 전악(前岳), 아보름, 압오름"	제주특별자치도 제주시 구좌읍 송당리 산164-1	51	301.4	126.6909	33.4487	분화구 내부의 원형 삼나무숲이 유명한 기생화산으로 경사가 완만하여 초보자도 오르기 쉽다. 영화·드라마 촬영지로도 잘 알려져 있다.	TRUE	FALSE	하	보통	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	abu	2021-11-30
아끈다랑쉬오름	"소월랑봉(小月郞峰), 소월랑수(小月郞岫)"	제주특별자치도 제주시 구좌읍 세화리 2593-1	58	198	126.8326	33.4776	"다랑쉬오름 동남쪽에 위치한 작은 기생화산으로, 제주어 '아끈'은 '작은·버금가는'이라는 뜻이다. 얕은 원형 분화구와 가을 억새가 아름다우며 정상까지 약 10분이면 오를 수 있다."	TRUE	FALSE	하	보통	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	akkeundalangswi	2021-11-30
알밤오름	"바매기오름, 율악(栗岳)"	제주특별자치도 제주시 조천읍 선흘리 산102-1	154	393.6	126.885675	33.480757	"비고 154m의 말굽형 화구를 가진 오름으로, 산체가 밤알을 닮아 '알밤오름'이라 불린다. 정상에서는 웃밤오름과 동백동산 일대를 조망할 수 있다."	TRUE	FALSE	중	낮음	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	albam	2021-11-30
알오름	"두산봉알오름, 두산난봉(斗山卵峰)"	제주특별자치도 서귀포시 성산읍 시흥리 산1-5	51	145.9	126.89701	33.476498	"응회환 내부에 형성된 분석구를 가진 전형적인 이중식 화산체로, 제주올레 1코스에 포함되어 있으며 성산일출봉과 우도, 제주 동부 해안 조망이 뛰어나다."	TRUE	FALSE	하	보통	제주특별자치도 서귀포시	064-740-6000	상시개방	없음	0	al	2021-11-30
안돌오름	"안돌악(安乭岳), 안돌이오름"	제주특별자치도 제주시 구좌읍 송당리 산66-2	119	368.1	126.754994	33.455844	"제주 동부 송당목장 일대에 위치한 말굽형 화산체로, 넓은 초지와 삼나무 숲길이 어우러져 경관이 뛰어난 오름이다. 억새 명소로도 유명하며 비밀의 숲과 인접해 있다."	TRUE	FALSE	하	보통	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	andol	2021-11-30
안세미오름	"명도오름, 안생이, 조리새미오름, 형제봉, 명도악(明道岳)"	제주특별자치도 제주시 봉개동 산2	91	396.4	126.6129	33.4623	"북동쪽으로 벌어진 대형 말굽형 화구를 가진 오름으로, 명도암물(조리새미) 샘과 울창한 해송·상수리 숲이 어우러진 자연경관이 뛰어난 오름이다. 밧세미오름과 함께 '형제오름'이라 불린다."	TRUE	FALSE	하	낮음	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	ansemi	2021-11-30
백약이오름	"백약악(百藥岳), 백약산"	제주특별자치도 서귀포시 표선면 성읍리 산1	132	356.9	126.789767	33.436809	"원형 화구를 가진 오름으로 예부터 백여 가지 약초가 자생한다고 하여 '백약이오름'이라 불린다. 정상에서는 성산일출봉, 한라산과 주변 오름군을 조망할 수 있으며, 둘레 탐방이 가능한 대표적인 제주 오름이다."	TRUE	FALSE	중	높음	제주특별자치도	064-740-6000	상시개방	없음	0	baeg-yagi	2021-11-30
밝은오름	"명도악(明道岳), 발근오름"	제주특별자치도 제주시 한림읍 상명리 산8	109	349.3	126.315873	33.338778	"남서쪽으로 열린 말굽형 화구를 가진 오름으로, 초지와 삼나무 숲이 어우러져 한림 서부 중산간의 경관을 감상하기 좋은 오름이다. 비교적 한적하여 자연 탐방에 적합하다."	TRUE	FALSE	하	낮음	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	balgeun	2021-11-30
바농오름	"바늘오름, 바능오름, 침악(針岳), 반응악(盤凝岳)"	제주특별자치도 제주시 조천읍 교래리 산108	142	552.1	126.6638	33.4455	"산정부의 원형 화구와 북동쪽으로 열린 말굽형 화구를 함께 가진 쌍둥이형 복합 화산체이다. 오름 주변에는 삼나무와 해송 숲이 조성되어 있으며, '바농'은 제주어로 바늘을 뜻한다."	TRUE	FALSE	중	낮음	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	banong	2021-11-30
비치미오름	비치미악(飛致味岳)	제주특별자치도 제주시 구좌읍 송당리 산64	109	344.1	126.76329	33.426395	비고 109m의 북동향 말굽형 화구를 가진 기생화산이다. 송당리 중산간 초지에 위치하며 억새와 초원이 어우러져 한적한 탐방을 즐길 수 있는 오름이다.	TRUE	FALSE	하	낮음	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	bichimi	2021-11-30
