REG_ID,REG_UP,REG_KO
L1000000,00000000,전국    
L1010000,L1000000,경기도  
L1010200,L1010000,광명    
L1010300,L1010000,과천    
L1010400,L1010000,안산    
L1010500,L1010000,시흥    
L1010600,L1010000,부천    
L1010700,L1010000,김포    
L1010900,L1110000,강화    
L1011100,L1010000,동두천  
L1011200,L1010000,연천    
L1011300,L1010000,포천    
L1011400,L1010000,가평    
L1011500,L1010000,고양    
L1011600,L1010000,양주    
L1011700,L1010000,의정부  
L1011900,L1010000,수원    
L1012000,L1010000,성남    
L1012100,L1010000,안양    
L1012200,L1010000,구리    
L1012300,L1010000,남양주  
L1012400,L1010000,오산    
L1012500,L1010000,평택    
L1012600,L1010000,군포    
L1012700,L1010000,의왕    
L1012800,L1010000,하남    
L1013000,L1010000,이천    
L1013100,L1010000,안성    
L1013200,L1010000,화성    
L1013400,L1010000,광주    
L1013600,L1110000,옹진    
L1013700,L1010000,파주    
L1013710,L1013700,파주동북부                              
L1013720,L1013700,파주서북부                              
L1013730,L1013700,파주남부
L1013800,L1010000,용인    
L1013810,L1013800,용인동북부                              
L1013820,L1013800,용인서북부                              
L1013830,L1013800,용인남부
L1013900,L1010000,여주    
L1013910,L1013900,여주동남부                              
L1013920,L1013900,여주서부
L1014000,L1000000,서해5도 
L1014200,L1014000,백령도.대청도                           
L1014300,L1014000,연평도.우도                             
L1014400,L1010000,양평    
L1014410,L1014400,양평동부
L1014420,L1014400,양평서부
L1020000,L1000000,강원도  
L1020300,L1020000,태백    
L1020800,L1020000,영월    
L1021100,L1020000,횡성    
L1021200,L1020000,원주    
L1021300,L1020000,철원    
L1021400,L1020000,화천    
L1021600,L1020000,춘천    
L1021900,L1020000,동해    
L1021910,L1021900,동해평지
L1021920,L1021900,동해산지
L1022000,L1020000,삼척    
L1022010,L1022000,삼척평지
L1022020,L1022000,삼척산지
L1022100,L1020000,속초    
L1022110,L1022100,속초평지
L1022120,L1022100,속초산지
L1022200,L1020000,고성    
L1022210,L1022200,고성평지
L1022220,L1022200,고성산지
L1022300,L1020000,양양    
L1022310,L1022300,양양평지
L1022320,L1022300,양양산지
L1022400,L1020000,평창    
L1022410,L1022400,평창평지
L1022420,L1022400,평창산지
L1022500,L1020000,강릉    
L1022510,L1022500,강릉평지
L1022520,L1022500,강릉산지
L1022600,L1020000,정선    
L1022610,L1022600,정선평지
L1022620,L1022600,정선산지
L1022700,L1020000,홍천    
L1022710,L1022700,홍천평지
L1022720,L1022700,홍천산지
L1022800,L1020000,양구    
L1022810,L1022800,양구평지
L1022820,L1022800,양구산지
L1022900,L1020000,인제    
L1022910,L1022900,인제평지
