오름명,오름여부,지번주소,위도,경도,비고,표고,카카오맵_url,관리시설,표고비고출처,좌표출처,grid_nx,grid_ny
모지오름,오름,제주특별자치도 서귀포시 표선면 성읍리 산 22,33.39361693,126.7681385,86.0,305.8,http://place.map.kakao.com/10328747,,제주道CSV/단일,API/단일,57,36
셋개오리,오름,제주특별자치도 제주시 봉개동 산,33.42989739,126.6146526,58.0,658.3,http://place.map.kakao.com/17782147,,제주道CSV/별칭,API/단일,54,36
괭이모루,오름,제주특별자치도 제주시 구좌읍 송당리 산 198,33.4621355,126.7803343,33.0,253.2,http://place.map.kakao.com/8194279,,제주道CSV/단일,API/단일,57,37
감낭오름,오름,제주특별자치도 서귀포시 안덕면 동광리 산 41,33.32320577,126.3448811,45.0,439.8,http://place.map.kakao.com/25334276,,미확보/미등재,API/단일,49,34
한대오름,오름,제주특별자치도 제주시 애월읍 봉성리 산 1,33.35633012,126.4244501,36.0,921.4,http://place.map.kakao.com/25392324,,제주道CSV/단일,API/단일,51,35
마보기,오름,제주특별자치도 서귀포시 안덕면 상천리 산 83,33.32038021,126.392997,45.0,559.7,http://place.map.kakao.com/7865729,,제주道CSV/단일,API/단일,50,34
비양봉,오름,제주특별자치도 제주시 한림읍 협재리 산 100-1,33.40945313,126.226973,104.0,114.1,http://place.map.kakao.com/7915415,,제주道CSV/단일,API/단일,47,36
바농오름,오름,제주특별자치도 제주시 조천읍 교래리 산 108,33.45377197,126.6538027,142.0,552.1,http://place.map.kakao.com/25240627,,제주道CSV/단일,API/단일,55,37
시오름,오름,제주특별자치도 서귀포시 서호동 산 1,33.30596956,126.516669,118.0,757.8,http://place.map.kakao.com/25297520,,제주道CSV/단일,API/단일,52,34
수악,오름,제주 서귀포시 남원읍 516로 1042 (남원읍 하례리),33.32463031,126.6094502,149.0,474.3,http://place.map.kakao.com/8455452,,제주道CSV/단일,API/단일,54,34
노루손이오름,오름,제주특별자치도 제주시 연동 산 137,33.42555151,126.4965833,136.0,616.2,http://place.map.kakao.com/25197241,,미확보/미등재,API/단일,52,36
번널오름,오름,제주 서귀포시 표선면 가시리 산 10-5,33.37431935,126.7459055,62.0,272.3,http://place.map.kakao.com/7895084,,제주道CSV/단일,API/단일,57,35
병곳오름,오름,제주 서귀포시 표선면 가시리 산 8,33.367042,126.7483755,113.0,288.1,http://place.map.kakao.com/11302272,,제주道CSV/단일,API/단일,57,35
여절악,오름,제주 서귀포시 남원읍 신흥리 산 18,33.34893076,126.7364642,50.0,209.8,http://place.map.kakao.com/8004025,,제주道CSV/단일,API/단일,57,35
손자봉,오름,제주 제주시 구좌읍 종달리 산 52,33.45662365,126.8198323,76.0,255.8,http://place.map.kakao.com/7959260,,제주道CSV/단일,API/단일,58,37
우보악,오름,제주 서귀포시 색달동 912-1,33.27536205,126.4018024,96.0,301.4,http://place.map.kakao.com/11187864,,제주道CSV/단일,API/단일,50,33
웃밤,오름,제주특별자치도 제주시 조천읍 선흘리 산 84,33.47734699,126.7154171,137.0,416.8,http://place.map.kakao.com/8035989,,제주道CSV/단일,API/단일,56,38
삼형제오름(샛오름),오름,제주 서귀포시 색달동 산 1-3 (장전리 산1번지 일대),33.35816909,126.4524915,123.0,1014.0,http://place.map.kakao.com/8389202,,미확보/미등재,API/단일,51,35
천아오름,오름,제주 제주시 애월읍 광령리 산 182-1,33.39625511,126.4499279,87.0,797.0,http://place.map.kakao.com/10769042,,제주道CSV/주소,API/주소,51,36
노로오름,오름,제주 제주시 애월읍 상가리 산 124,33.36626077,126.439303,105.0,1070.0,http://place.map.kakao.com/25197040,,제주道CSV/단일,API/단일,51,35
돝오름,오름,제주특별자치도 제주시 구좌읍 송당리 산 3,33.4810833,126.8015016,129.0,284.2,http://place.map.kakao.com/17788818,,미확보/미등재,미확보/미등재,58,38
안친오름,오름,제주특별자치도 제주시 구좌읍 송당리 808,33.47846622,126.7859587,22.0,192.0,http://place.map.kakao.com/8494697,,제주道CSV/단일,API/단일,57,38
문도지오름,오름,제주 제주시 한림읍 금악리 3445,33.32625021,126.2946137,55.0,260.3,http://place.map.kakao.com/7875147,,제주道CSV/단일,API/단일,48,34
큰지그리오름,오름,제주 제주시 조천읍 교래리 산 119,33.4444789,126.6451151,118.0,598.0,https://place.map.kakao.com/25382966,,제주道CSV/단일,미확보/미등재,55,37
소록산,오름,제주 서귀포시 표선면 가시리 산 87-24,33.40057815,126.7227858,102.0,441.9,http://place.map.kakao.com/7958576,,제주道CSV/단일,API/단일,56,36
느지리오름,오름,제주 제주시 한림읍 상명리 산 5,33.36656797,126.2615941,85.0,225.0,http://place.map.kakao.com/7862701,,제주道CSV/단일,API/단일,48,35
베릿내오름,오름,제주 서귀포시 중문동 3712,33.24733194,126.4215055,61.0,101.2,http://place.map.kakao.com/17809089,,제주道CSV/별칭,API/단일,51,32
소병악,오름,제주 서귀포시 안덕면 상창리 산 2-1,33.3083447,126.3742968,93.0,473.0,http://place.map.kakao.com/7958410,,제주道CSV/단일,API/단일,50,34
대병악,오름,제주 서귀포시 안덕면 상창리 산 2-1,33.30625848,126.3682578,132.0,491.9,http://place.map.kakao.com/10255199,,제주道CSV/단일,API/단일,50,34
쌀오름,오름,제주 서귀포시 동홍동 2195,33.30060832,126.5544916,113.0,567.5,http://place.map.kakao.com/25302677,,제주道CSV/단일,미확보/미등재,53,34
왕이메,오름,제주특별자치도 서귀포시 안덕면 광평리 산 79,33.34354683,126.3765749,92.0,612.4,http://place.map.kakao.com/17788831,,제주道CSV/단일,API/단일,50,35
도너리오름,오름,제주 제주시 한림읍 금악리 산 60,33.32569857,126.3213432,110.0,439.6,http://place.map.kakao.com/8260448,,제주道CSV/단일,API/단일,49,34
안세미오름,오름,제주 제주시 봉개동 산 2,33.46741697,126.6072609,91.0,396.4,http://place.map.kakao.com/27302956,,제주道CSV/단일,API/단일,54,37
큰노리손이,오름,제주특별자치도 제주시 봉개동 234-231,33.4587553,126.6217641,52.0,426.6,http://place.map.kakao.com/25379468,,미확보/미등재,API/단일,54,37
거친오름,오름,제주특별자치도 제주시 봉개동 산 66 일대,33.44450029,126.6194858,154.0,618.5,http://place.map.kakao.com/10129920,,제주道CSV/주소,API/주소,54,37
절물오름,오름,제주특별자치도 제주시 봉개동 산 78-1,33.43388059,126.6267079,147.0,696.9,http://place.map.kakao.com/241119078,,제주道CSV/별칭,API/단일,54,37
민오름,오름,제주특별자치도 제주시 오라이동 산 28-1,33.47572799,126.5070916,117.0,251.7,http://place.map.kakao.com/8316764,,제주道CSV/주소,API/주소,52,37
녹남봉,오름,제주특별자치도 서귀포시 대정읍 신도리 808-4,33.2795041,126.1960341,50.0,100.0,https://place.map.kakao.com/25198772,,미확보/미등재,미확보/미등재,47,33
가시오름,오름,제주 서귀포시 대정읍 동일리 1706,33.24704705,126.2431502,77.0,106.5,http://place.map.kakao.com/11269510,,제주道CSV/단일,API/단일,47,32
모슬봉,오름,제주 서귀포시 대정읍 동일리 2081-3,33.23873924,126.2586578,131.0,180.5,http://place.map.kakao.com/7876363,,제주道CSV/단일,API/단일,48,32
통오름,오름,제주 서귀포시 성산읍 난산리 1976-1,33.39305307,126.8560385,43.0,143.1,http://place.map.kakao.com/8128672,,제주道CSV/단일,API/단일,59,36
사려니,오름,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,33.34017512,126.6458301,98.0,523.0,http://place.map.kakao.com/7916414,,제주道CSV/단일,API/단일,55,34
삼매봉,오름,제주특별자치도 서귀포시 서홍동 819,33.2437181,126.5462844,104.0,153.6,https://place.map.kakao.com/7919832,,제주道CSV/단일,미확보/미등재,53,32
검은오름,오름,제주특별자치도 제주시 연동 산 110-1,33.44293879,126.4985671,129.0,438.8,http://place.map.kakao.com/8170465,,제주道CSV/단일,API/단일,52,37
한라산 웃세족은오름,오름,제주특별자치도 제주시 애월읍 광령리 산 183-6,33.36102374,126.5108391,75.0,1740.0,http://place.map.kakao.com/8076005,,제주道CSV/별칭,API/단일,52,35
대수산봉,오름,제주특별자치도 서귀포시 성산읍 고성리 2039-1,33.43967509,126.9016497,97.0,137.3,http://place.map.kakao.com/25206111,,제주道CSV/단일,API/단일,60,37
당오름,오름,제주특별자치도 서귀포시 안덕면 동광리 산 68-1,33.33409955,126.3356559,118.0,473.0,http://place.map.kakao.com/7814463,,제주道CSV/주소,API/주소,49,34
이달이촛대봉,오름,제주특별자치도 제주시 애월읍 봉성리 산 71-1,33.3663686,126.3470044,86.0,456.0,http://place.map.kakao.com/8490593,,제주道CSV/단일,API/단일,49,35
비치미오름,오름,제주 제주시 구좌읍 송당리 산 255-1,33.42755797,126.7632386,109.0,344.1,http://place.map.kakao.com/8379747,,제주道CSV/단일,API/단일,57,36
토산봉,오름,제주 서귀포시 표선면 토산리 산 13,33.32200787,126.7742727,75.0,175.4,http://place.map.kakao.com/8108616,,제주道CSV/단일,API/단일,57,34
개오름,오름,제주 서귀포시 표선면 성읍리 2974,33.42256836,126.771856,130.0,344.7,http://place.map.kakao.com/10620522,,제주道CSV/단일,API/주소,57,36
가세오름,오름,제주 서귀포시 표선면 토산리 산 5,33.33014143,126.7813191,101.0,200.5,http://place.map.kakao.com/10118902,,제주道CSV/단일,API/단일,57,34
설오름,오름,제주특별자치도 서귀포시 표선면 가시리 산 1,33.37106377,126.7695523,98.0,238.0,http://place.map.kakao.com/7946961,,제주道CSV/주소,API/주소,57,35
북돌아진 오름,오름,제주특별자치도 제주시 애월읍 봉성리 산 41,33.3563546,126.3738009,118.0,643.0,http://place.map.kakao.com/7906497,,제주道CSV/단일,API/단일,50,35
넙거리,오름,제주 서귀포시 남원읍 한남리 산 2-1,33.33492207,126.6524583,102.0,436.6,http://place.map.kakao.com/8226028,,제주道CSV/주소,API/단일,55,34
큰바리메오름,오름,제주특별자치도 제주시 애월읍 어음리 산 21,33.37713081,126.3880198,213.0,763.4,http://place.map.kakao.com/7888119,,제주道CSV/단일,API/단일,50,35
영아리,오름,제주특별자치도 서귀포시 안덕면 상천리 산 24,33.33005226,126.3999639,93.0,693.0,http://place.map.kakao.com/8021042,,제주道CSV/단일,API/단일,50,34
거린사슴,오름,제주특별자치도 서귀포시 대포동 산 2-1,33.30960512,126.4542363,103.0,742.9,http://place.map.kakao.com/8175569,,제주道CSV/단일,API/단일,51,34
제지기오름,오름,제주특별자치도 서귀포시 보목동 275-1,33.24162746,126.6094753,85.0,94.8,http://place.map.kakao.com/10801781,,제주道CSV/단일,API/단일,54,32
자배봉,오름,제주 서귀포시 남원읍 위미리 산 132-2,33.30100229,126.6769392,111.0,211.3,http://place.map.kakao.com/11158780,,제주道CSV/단일,API/단일,55,34
수산봉,오름,제주 제주시 애월읍 수산리 산 1-1,33.4739896,126.3843391,92.0,121.0,https://place.map.kakao.com/7964847,,미확보/미등재,미확보/미등재,50,37
섯알오름,오름,제주특별자치도 서귀포시 대정읍 상모리 1618,33.20649191,126.2812168,21.0,40.7,http://place.map.kakao.com/25284265,,제주道CSV/단일,API/단일,48,32
월라봉,오름,제주특별자치도 서귀포시 안덕면 감산리 1144,33.24390526,126.3495003,101.0,200.7,http://place.map.kakao.com/25335651,,제주道CSV/단일,API/단일,49,32
고근산,오름,제주특별자치도 서귀포시 서호동 1286-1,33.2672142,126.5133968,171.0,396.2,https://place.map.kakao.com/8175370,,제주道CSV/단일,미확보/미등재,52,33
물찻오름,오름,제주 제주시 조천읍 교래리 산 137-1,33.39484743,126.6528746,167.0,717.2,http://place.map.kakao.com/10417720,,제주道CSV/단일,API/단일,55,36
이승이오름,오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-4,33.34014979,126.622239,114.0,539.0,http://place.map.kakao.com/25342411,,제주道CSV/별칭,API/단일,54,34
뒤굽은이오름,오름,제주 제주시 구좌읍 송당리 산 38,33.4785363,126.7668334,52.0,251.6,http://place.map.kakao.com/7860041,,제주道CSV/단일,API/단일,57,38
체오름,오름,제주특별자치도 제주시 구좌읍 덕천리 산 2,33.4656608,126.7494421,117.0,382.2,http://place.map.kakao.com/8094829,,제주道CSV/단일,API/단일,57,37
밧돌오름,오름,제주특별자치도 제주시 구좌읍 송당리 산 66-1,33.46071398,126.76007,103.0,352.8,http://place.map.kakao.com/7896521,,제주道CSV/단일,API/단일,57,37
큰사슴이오름,오름,제주특별자치도 서귀포시 표선면 가시리 산 68-9,33.39914417,126.729544,125.0,474.5,http://place.map.kakao.com/25204904,,제주道CSV/단일,미확보/미등재,56,36
둔지봉,오름,제주특별자치도 제주시 구좌읍 한동리 산 40,33.5016894,126.7942442,152.0,282.2,https://place.map.kakao.com/7860733,,제주道CSV/단일,미확보/미등재,58,38
거슨세미,오름,제주 제주시 구좌읍 송당리 산 145,33.4502293,126.7601311,125.0,380.0,http://place.map.kakao.com/8174706,,제주道CSV/단일,API/단일,57,37
우진제비,오름,제주특별자치도 제주시 조천읍 선흘리 산 112,33.46778927,126.6994496,126.0,410.6,http://place.map.kakao.com/8460981,,제주道CSV/단일,API/단일,56,37
오구시오름,오름,제주 제주시 오등동 570-1,33.47002527,126.5350609,29.0,188.6,http://place.map.kakao.com/8011701,,제주道CSV/단일,API/단일,53,37
광이오름,오름,제주 제주시 연동 산 62,33.46805585,126.4948812,77.0,266.8,http://place.map.kakao.com/25181898,,제주道CSV/단일,API/단일,52,37
남짓은오름,오름,제주특별자치도 제주시 연동 산 20-2,33.47250857,126.4972587,167.0,296.7,http://place.map.kakao.com/25193943,,제주道CSV/단일,API/단일,52,37
당산봉,오름,제주 제주시 한경면 용수리 산 28,33.30774396,126.1729781,118.0,148.0,http://place.map.kakao.com/7814429,,제주道CSV/단일,API/단일,46,34
지미봉,오름,제주특별자치도 제주시 구좌읍 종달리 산 3-1,33.498896,126.9027859,160.0,165.8,https://place.map.kakao.com/10773441,,제주道CSV/단일,미확보/미등재,60,38
영주산,오름,제주특별자치도 서귀포시 표선면 성읍리 산 18-1,33.4045668,126.7962385,176.0,326.4,http://place.map.kakao.com/8018193,,제주道CSV/단일,API/단일,58,36
금악오름,오름,제주 제주시 한림읍 금악리 산 1-1,33.35457233,126.3058389,178.0,427.5,http://place.map.kakao.com/25189061,,제주道CSV/별칭,API/별칭,49,35
붉은오름,오름,제주 서귀포시 성산읍 섭지코지로 261 (성산읍 고성리),33.4258431,126.9316231,28.0,33.0,https://place.map.kakao.com/10455716,,제주道CSV/주소,미확보/모호(2),60,36
한라산 웃세누운오름,오름,제주특별자치도 서귀포시 영남동 산 1-1,33.36098913,126.5139637,71.0,1711.0,http://place.map.kakao.com/12777859,,미확보/미등재,API/단일,52,35
개오리오름,오름,제주특별자치도 제주시 봉개동 산 78-1 일대,33.42663921,126.6127004,117.0,743.0,http://place.map.kakao.com/7937029,,제주道CSV/단일,미확보/미등재,54,36
망동산,오름,제주특별자치도 제주시 우도면 연평리 산 6,33.49802084,126.962404,30.0,87.5,http://place.map.kakao.com/7870134,,제주道CSV/단일,API/단일,61,38
쇠머리오름,오름,제주특별자치도 제주시 우도면 연평리 산 17,33.49209675,126.9635913,128.0,132.5,http://place.map.kakao.com/8389783,,제주道CSV/단일,API/단일,61,38
